name,artist,album_name,release_date,lyrics
Jab Mila Tu,Vishal-Shekhar,I Hate Luv Storys (Original Motion Picture Soundtrack),2010-05-25,जैसे घडी के घिरा से वक़्त कहीं पे घिरा हो जैसे रौशनी सुबह से हो जाये जुड़ा जैसे गाने और नज़म से सुर कोई चुराले वैसे आधा अधूरा में तेरे बिना जब मिला तू रु तू रु तू रु तू रु तू न थी कमी न जुस्तजू रु तू रु तू और आधे आधे पल हुए फिर पूरे यूँ जब मिला तू रु तू ऋतु रु तू रु तू खाली जो रात हो मैं ख्वाबों चाँद तारों से वह पूरी भर दूँ तेरी जो बात हो मैं बिन कहे ही आधी पौनी पूरी कर दूँ जो ाशे से हम हैं वह पूरे हो तुमसे अधूरे से किस्से बर्बर के हिस्से तू दिल में तो में दुआ जब मिला तू रु तू रु तू न कमी न जुस्तजू रु तू रु तू और आधे आधे पल हुए फिर पूरे यूँ जब मिला तू रु तू रु तू रु तुरु तू कल तू जो खोयी हो तो गुमशुदा यह ज़िन्दगी बसर कर दूँ मंज़िल जो सोई हो तो ख्वाब सारे तेरे ही नज़र कर दूँ तो आधे से दिल को जो लाएगी भी तो मैं सौ ख्वाइशों से ही बार दूँ दबो करे न यह तू तू अभी के अभी तू जब मिला तू रु तू रु तू रु तू रु तू न थी कमी न जुस्तजू रु तू रु तू आधे ाहदे पल हुए फिर पूरे यूँ जब मिला तू रु तू रु तू रु तू जैसे घडी के घिरा से वक़्त कहीं पे घिरा हो जैसे रौशनी सुबह से हो जाये जुड़ा जैसे गाने और नज़म से सुर कोई चुराले वैसे आधा अधूरा में तेरे बिना जब मिला तू रु तू रु तू रु तू रु तू न थी कमी न जुस्तजू रु तू रु तू और आधे आधे पल हुए फिर पूरे यूँ जब मिला तू रु तू ऋतु रु तू रु तू
Ishq Wala Love,Vishal-Shekhar,Student of the Year (Original Motion Picture Soundtrack),2012-08-31,सुर्ख वाला सौज वाला फैज़ वाला लव होता है जो लव से ज्यादा वैसे वाला लव इश्क़ वाला लव हुआ जो दर्द भी तोह हम को आज कुछ ज़्यादा हुआ इश्क़ वाला लव ये क्या हुआ है क्या खबर एहि पता है ज़्यादा हुआ इश्क़ वाला लव अगर ये उसको भी हुआ है फिर भी मुझको ज़्यादा हुआ इश्क़ वाला लव मेरी नींद जैसे पहली बार टूटी है आँखें मालके के मैंने देखि है सुबह हुई धुप ज़्यादा लेके तेरी रौशनी दिन चढ़ा इश्क़ वाला लव झांके बादलों की जाली के पीछे से करे चांदनी ये मुझको इत्तला लेके नूर सारा चाँद मेरा यहीं पे है छुपा छुपा हुआ इश्क़ वाला लव हुआ जो दर्द भी तोह हम को आज कुछ ज़्यादा हुआ इश्क़ वाला लव ये क्या हुआ है क्या खबर एहि पता है ज़्यादा हुआ इश्क़ वाला लव अगर ये उसको भी हुआ है फिर भी मुझको ज़्यादा हुआ इश्क़ वाला लव जो ऐसे होता जो मिलते तुम हो जाते गम साथ मेरे होते होते होगा समझाए हम थम जाए तुम ो दिल मेरे टूटा ज़्यादा ज़्यादा तारा जब गिरा ज़रा ज़्यादा ज़्यादा मांगू दिल तेरा कभी ज़्यादा ज़्यादा माने न दिल ये सरफिरा इश्क़ वाला लव बड़ा ये दिल नादान था पर आज कुछ ज़्यादा हुआ इश्क़ वाला लव जो खोने का था दर तुझे पता नहीं क्यों ज़्यादा हुआ इश्क़ वाला लव हुआ जो दर्द भी कभी तोह हम को आज कुछ ज़्यादा हुआ इश्क़ वाला लव ये क्या हुआ है क्या खबर एहि पता है ज़्यादा हुआ इश्क़ वाला लव अगर ये उसको भी हुआ फिर भी मुझको ज़्यादा हुआ इश्क़ वाला लव सुर्ख वाला सौज वाला फैज़ वाला लव इश्क़ वाला लव होता है जो लव से ज्यादा वैसे वाला लव इश्क़ वाला लव सुर्ख वाला सौज वाला फैज़ वाला लव इश्क़ वाला लव होता है जो लव से ज्यादा वैसे वाला लव इश्क़ वाला लव
Sapna Jahan ,Ajay-Atul,"Sapna Jahan (From ""Brothers"")",2015-07-24,सपना जहाँ दस्तक न दे चौखट थी वह आँखें मेरी बातों से थी तादाद में खामोशियाँ जाना मेरी जब से पड़े तेरे कदम चलने लगी दुनिया मेरी मेरे दिल में जगह खुदा की खली थी देखा वहां पे आज तेरा चेहरा है मैं भटकता हुआ सा एक बदल हूँ जो तेरे आसमान पे आके ठहरा है तू रूह है तोह मैं काय बनु ताउम्र मैं तेरा साया बनु केहड़े तोह बन जाऊं बेराग मैं केहड़े तोह मैं तेरी माया बनु तू साज़ है मैं रागनी तू रात है मैं चांदनी मेरे दिल में जगह खुदा की खली भी देखा वहां पे आज तेरा चेहरा है मैं भटकता हुआ सफ़ेद बदल हूँ जो तेरे आसमान पे आके ठहरा है हम पे सितारों का एहसान हो पूरा अधूरा हर अरमान हो एक दुसरे से जो बांधे हमें बाहों में नन्ही सी एक जान हो आबाद हो छोटा सा घर लग्न सके किसी की नज़र मेरे दिल में जगह खुदा की खली भी देखा वहां पे आज तेरा चेहरा है मैं भटकता हुआ सफ़ेद बदल हूँ जो तेरे आसमान पे आके ठहरा है
Naach Meri Jaan ,Pritam,"Naach Meri Jaan (From ""Tubelight"")",2017-06-01,इ नाच मेरी जान फ़टाफ़टफात नाच मेरी जान फ़टाफ़टफात बात मेरी मान फ़टाफ़टफात बात मेरी मान फटाफट ये ज़माना ये तराना नया फटाफट ये ज़माना ये तराना नया फटाफट नाच मेरी जान फ़टाफ़टफात बात मेरी मान फ़टाफ़टफात देखो देखो देखो देखो नए डांस का नमूना देखो देखो देखो देखो नए डांस का नमूना कभी मैं तुम्हे छुंगा कभी तुम मुझे छूना कभी मैं तुम्हे छुंगा कभी तुम मुझे छूना मुझे छू मुझे छू मुझे छू मुझे छू मुझे छू मुझे छू मुझे छू नया ताल नयी तान फटफट्फअत नाच मेरी जान फ़टाफ़टफात बात मेरी मान फ़टाफ़टफात नाच मेरी जान फटाफट ये ज़माना ये तराना नया फटाफट ये ज़माना ये तराना नया फटाफट ठंडी ठंडी ठंडी ठंडी इस रेट का बिछोना ठंडी ठंडी ठंडी ठंडी इस रेट का बिछोना खेलें प्यार वाला खेल लेके दिल का खिलौना खेलें प्यार वाला खेल लेके दिल का खिलौना ी लव यू ी लव यू ी लव यू ी लव यू ी लव यू ी लव यू ी लव यू हां देखे सारा ये जहां फताफायटफकट नाच मेरी जान आय फ़टाफ़टफात बात मेरी मान ोय फ़टाफ़टफात नाच मेरी जान ऐ फटाफट ये ज़माना ये तराना नया फटाफट ये ज़माना ये तराना नया फटाफट तेरी मेरी जोड़ी प्यारी तू है शोला मैं चिंगारी तेरी मेरी जोड़ी प्यारी तू है शोला मैं चिंगारी तेरे रूप का मैं मारा मेरे प्यार की तू मारी तेरे रूप का मैं मारा मेरे प्यार की तू मारी मेरा तू मेरी तू मेरा तू मेरी तू मेरा तू मेरा तू मेरा तू आ मैं हूँ तीर तू कमान फ़टाफ़टफात नाच मेरी जान फ़टाफ़टफात बात मेरी मान फ़टाफ़टफात ऐ नाच मेरी जान फटाफट ये ज़माना ये तराना नया फटाफट ये ज़माना ये तराना नया फटाफट
Jai Ho! ,A.R. Rahman,Jai Ho! (You Are My Destiny),2009-01-01,शक्तिशाली अविनाशी हारे ना जो हाँ मैं ही तोह हूँ वह मैं से खंजर तन्न से पत्थर होगा अब घायल मुझसे लड़ेगा जो जितना हराओ उतना विजयी हु मैं प्रलय हु युद्ध करे कोई तो भीम हु मैं अर्जुन भी हु अखाडा हो या रणभूमि हो जय होऊ जय होऊ जय होऊ जय होऊ जय होऊ जय होऊ जय होऊ जय होऊ जय होऊ जय होऊ जय होऊ जय होऊ
Dance Basanti ,Sachin-Jigar,#Hashmania (Emraan Hashmi's Biggest Hits!),2015-05-07,डांस क्मों क्मों डांस डा डा डा डांस निगोड़ी तेरा ठुमका बड़ा किंकी किंकी टाइप डा निगोड़ी तेरा झुमका बड़ा फूंकी फूंकी टाइप डा कटीली तेरी अँखियाँ जैसे नौक नुकीली नाइफ डा नई गोरी तेरा नखरा बड़ा चाणक्य पनकी टाइप डा किसी हिट गाने पे जो कमर मटका देगी तू फटीचर से यह दिल बन जायेगा शेह्ज़ादा ऊँची वाली हील पहनकर डांस बसंती डा डा डांस बसंती डा डा डांस बसंती हो हर लिमिट की हाइट पे चढ़कर डा डा डांस बसंती डांस बसंती डा डा डांस बसंती क्मों क्मों डांस बसंती डांस डांस डांस डा डा डांस ो व्हेन सी में यू जो वाइल्ड ॉव माय लव यू वांट आईटी नाउ नाउ यू सी में डंकिन उप थे स्टार यू क्नोव तहत आईएम तहत बोल्ड व्हेन ी पंप आईटी उप ों थे फ्लोर और ी क्नोव आल बॉयज जो ों ोूफ ो एंड इलल बे शेक आईटी उप टेक आईटी उप ब्रेकिंग आईटी उप आईएम गोंना बे फंक आईटी उप व्हाट हे बसंती तेरे घर एड्रेस बोल दे बसंती तेरे दिल का तू गेट खोल दे बसंती विस्फोटक बस एक स्माइल है तू सर से पाऊँ तक पूरी मिसाइल है किसी हिट गाने पे जो कमर मटका देगी तू पूरा नहीं ते चैन मिल जाए पौने आधा आशिक़ों से डील तू करके तू डांस बसंती डा डा डा डांस बसंती डा डा डा डांस डांस डांस बसंती शेक तहत बंग बंग बंग निगोड़ी तेरा ठुमका बड़ा किंकी किंकी टाइप डा निगोड़ी तेरा झुमका बड़ा फूंकी फूंकी टाइप डा कटीली तेरी अँखियाँ जैसे नौक नुकीली नाइफ डा नई गोरी तेरा नखरा बड़ा चाणक्य पनकी टाइप डा किसी हिट गाने पे जो कमर मटका देगी तू फटीचर से यह दिल बन जायेगा शेह्ज़ादा ऊँची वाली हील पहनकर डांस बसंती डा डा डांस बसंती डा डा डांस बसंती हो हर लिमिट की हाइट पे चढ़कर डा डा डांस बसंती डांस बसंती डा डा डांस बसंती क्मों क्मों डांस बसंती डांस डांस डांस डा डा डांस ी वांट व्हेन सी में यू जो वाइल्ड ॉव माय लव यू वांट आईटी नाउ नाउ यू सी में डंकिन उप थे स्टार यू क्नोव तहत आईएम तहत बोल्ड ी क्नोव आल बॉयज जो ों ोूफ ो एंड इलल बे शेक आईटी उप टेक आईटी उप ब्रेकिंग आईटी उप आईएम गोंना बे फंक आईटी उप डा डा डांस बसंती
Kabhi Khushi Kabhie Gham,Jatin-Lalit,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),2001-11-28,आ आ आ आ आ आ कभी ख़ुशी कभी ग़म न जुड़ा होंगे हम कभी ख़ुशी कभी ग़म आ आ आ आ आ आ आ आ आ आ मेरी साँसों में तू है समाया मेरा जीवन तो है तेरा साया मेरी साँसों में तू है समाया मेरा जीवन तो है तेरा साया तेरी पूजा करून मैं तो हरदम यह है तेरे करम कभी ख़ुशी कभी ग़म न जुड़ा होंगे हम कभी ख़ुशी कभी ग़म मेरी साँसों में तू है समाया मेरा जीवन तो है तेरा साया तेरी पूजा करून मैं तो हरदम यह है तेरे करम कभी ख़ुशी कभी ग़म न जुड़ा होंगे हम कभी ख़ुशी कभी ग़म सुबह श्याम चरणों में दिए हम जलाएं देखें जहाँ भी देखें तुझको ही पाएं सुबह श्याम चरणों में दिए हम जलाएं देखें जहाँ भी देखें तुझको ही पाएं इन लबों पे तेरा बस तेरा नाम हो इन लबों पे तेरा बस तेरा नाम हो प्यार दिल से कभी भी न हो काम यह है तेरे करम कभी ख़ुशी कभी ग़म न जुड़ा होंगे हम कभी ख़ुशी कभी ग़म यह घर नहीं है मंदिर है तेरा इस में सदा रहे तेरा बसेरा यह घर नहीं है मंदिर है तेरा इस में सदा रहे तेरा बसेरा खुश्बूं से तेरी यह महेकता रहें खुश्बूं से तेरी यह महेकता रहें आये जाए भले ही कोई मौसम यह है तेरे करम कभी ख़ुशी कभी ग़म न जुड़ा होंगे हम कभी ख़ुशी कभी ग़म मेरी साँसों में तू है समाया मेरा जीवन तो है तेरा साया मेरी साँसों में तू है समाया मेरा जीवन तो है तेरा साया तेरी पूजा करून मैं तो हरदम यह है तेरे करम कभी ख़ुशी कभी ग़म न जुड़ा होंगे हम कभी ख़ुशी कभी ग़म आ आ आ आ आ आ कभी ख़ुशी कभी ग़म न जुड़ा होंगे हम कभी ख़ुशी कभी ग़म
Luka Chuppi,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),2005-12-04,लुका चुप्पी बहुत हुयी सामने आ जा ना कहाँ कहाँ ढूँढा तुझे थक गयी है अब तेरी माँ आजा सांझ हुई मुझे तेरी फ़िक्र धुंधला गयी देख मेरी नज़र आ जा न आजा सांझ हुई मुझे तेरी फ़िक्र धुंधला गयी देख मेरी नज़र आ जा न क्या बताऊँ माँ कहाँ हूँ मैं यहाँ उड़ने को मेरे खुला आसमान है तेरे किस्सों जैसा भोला सलोना जहाँ हैं यहाँ सपनो वाला मेरी पतंग हो बेफिक्र उड़द रही है माँ डोर कोई लुटे नहीं बीच से काटे न आजा सांझ हुई मुझे तेरी फ़िक्र धुंधला गयी देख मेरी नज़र आ जा न तेरी राह ताके आंखियां जाने कैसा कैसा होये जिया तेरी राह ताके आंखियां जाने कैसा कैसा होये जिया धीरे धीरे आँगन उतरे अँधेरा मेरा डीप कहाँ ढलके सूरज करे इशारा चंदा तू है कहाँ मेरे चंदा तू है कहाँ लुका चुप्पी बहुत हुयी सामने आ जा ना कहाँ कहाँ ढूँढा तुझे थक गयी है अब तेरी माँ आजा सांझ हुई मुझे तेरी फ़िक्र धुंधला गयी देख मेरी नज़र आ जा न आजा सांझ हुई धुंधला गयी देख मेरी नज़र आ जा न कैसे तुझको दिखाऊं यहाँ है क्या मैंने झरने से पानी माँ तोड़ के पिया है गुच्छा गुच्छा कई ख्वाबों का उछाल के चुवा है छाया लिए भली धुप यहाँ है नया नया सा है रूप यहाँ यहाँ सब कुछ है माँ फिर भी लगे बिन तेरे मुझको अकेला आजा सांझ हुई मुझे तेरी फ़िक्र धुंधला गयी देख मेरी नज़र आ जा न आजा सांझ हुई मुझे तेरी फ़िक्र धुंधला गयी देख मेरी नज़र आ जा न आजा सांझ हुई मुझे तेरी फ़िक्र धुंधला गयी देख मेरी नज़र आ जा न
Radha Kaise Na Jale,A.R. Rahman,Lagaan (Original Motion Picture Soundtrack),2001-04-03,मधुबन में जो कन्हैया किसी गोपी से मिले कभी मुस्काये कभी छेड़े कभी बात करे राधा कैसे न जले राधा कैसे न जले आग तन मैं में लगे राधा कैसे न जले राधा कैसे न जले मधुबन में भले कान्हा किसी गोपी से मिले मैं में तो राधा के ही प्रेम के हैं फूल खिले किस लिए राधा जले किस लिए राधा जले बिना सोचे समझे किस लिए राधा जले किस लिए राधा जले ो गोपियाँ तारें हैं चाँद है राधा फिर क्यूँ है उसको बिस्वास आधा ो गोपियाँ तारें हैं चाँद है राधा फिर क्यूँ है उसको बिस्वास आधा कान्हाजी का जो सदा इधर उधर ध्यान रहे राधा बेचारी को फिर अपने पे क्या मान रहे गोपियाँ आणि जानी हैं राधा तो मैं की रानी है गोपियाँ आणि जानी हैं राधा तो मैं की रानी है सांझ सखारे जमना किनारे राधा राधा ही कान्हा पुकारे ोये होये ोये होये बाहों के हार जो डाले कोई कान्हा के गले राधा कैसे न जले राधा कैसे न जले आग तन मैं में लगे राधा कैसे न जले राधा कैसे न जले मैं में है राधे को कान्हा जो बसाये तो कान्हा काहे को उससे न बताये प्रेम की अपनी अलग बोली अलग भासा है बात नैनों से हो कान्हा की यही आसा है कान्हा के यह जो नैना हैं छीने गोपियों के चाइना हैं कान्हा के यह जो नैना हैं छीने गोपियों के चाइना हैं मिली नजरिया हुई बावरिया गोरी गोरी सी कोई गुजरिया कान्हा का प्यार किसी गोपी के मैं में जो पीला किस लिए राधा जले राधा जले राधा जले राधा कैसे न जले किस लिए राधा जले राधा कैसे न जले किस लिए राधा जले किस लिए राधा जले राधा कैसे न जले किस लिए राधा जले किस लिए राधा जले आह आह आह आह राधा कैसे न जले राधा कैसे न जले राधा कैसे न जले
Chura Liya Hai Tumne Jo Dil Ko,Asha Bhosle,"Legends: Asha Bhosle - The Enchantress, Vol. 4",2013-03-05,चुरा लिया है तुमने जो दिल को नज़र नहीं चुराना सनम बदलके मेरी तुम ज़िंदगानी कहीं बदल न जाना सनम ओह ले लिया दिल ओह है मेरा दिल है दिल लेकर मुझको न बहलाना चुरा लिया है तुमने जो दिल को नज़र नहीं चुराना सनम बदलके मेरी तुम ज़िंदगानी कहीं बदल न जाना सनम बहार बांके आऊं कभी तुम्हारी दुनिया में गुज़र न जाए यह दिन कहीं इसी तमन्ना में बहार बांके आऊं कभी तुम्हारी दुनिया में गुज़र न जाए यह दिन कहीं इसी तमन्ना में तुम मेरे हो हो तुम मेरे हो आज तुम इतना वादा करते जाना चुरा लिया चुरा लिया है तुमने जो दिल को नज़र नहीं चुराना सनम बदलके मेरी तुम ज़िंदगानी कहीं बदल न जाना सनम हो सजाऊंगा लूटकर भी तेरे बदन की डाली को लहू जिगर का दूंगा हसीं लबों की लाली को सजाऊंगा लूटकर भी तेरे बदन की डाली को लहू जिगर का दूंगा हसीं लबों की लाली को है वफ़ा क्या इस जहां को एक दिन दिखला दूंगा मैं दीवाना चुरा लिया चुरा लिया है तुमने जो दिल को नज़र नहीं चुराना सनम बदलके मेरी तुम ज़िंदगानी कहीं बदल न जाना सनम ले लिया दिल है मेरा दिल है दिल लेकर मुझको न बहलाना चुरा लिया है तुमने जो दिल को नज़र नहीं चुराना सनम हम हम हम हम हम हम हम हम हम हम हम हम हम हम हम हम
Mitwa,Shankar-Ehsaan-Loy,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),2006-06-08,हर संत कहे साधू कहे सच और साहस है जिसके मैं में अंत में जीत उसीकी रहे आजा रे आजा रे आजा रे आजा रे भले कितने लम्बे हो रस्ते हो थके न तेरा यह तन हो आजा रे आजा रे सुन ले पुकारे डगरिया रहे न यह रस्ते तरसते हो तू आजा रे इस धरती का है राजा तू यह बात जान ले तू कठिनाई से टकरा जा तू नहीं हार मान ले तू मितवा सुन मितवा तुझको क्या डर है रे यह धरती अपनी है अपना अम्बर है रे ो मितवा सुन मितवा तुझको क्या डर है रे धरती अपनी है अपना अम्बर है रे तू आजा रे सुन लो रे मितवा जो है तुमरे मैं में वही हमरे मैं में जो सपना है तुमरा सपना वही हमरा है जीवन में हाँ चले हम लिए आसा के दिए नयनन में दिए हमरी आशाओं के कभी बुझ न पाए कभी आंधियां जो आके इनको बुझाये ो मितवा सुन मितवा तुझको क्या डर है रे यह धरती अपनी है अपना अम्बर है रे ो मितवा सुन मितवा तुझको क्या डर है रे धरती अपनी है अपना अम्बर है रे तू आजा रे ता न ता न न न ता न न न न न ता न ता न न न ता न न न न ता न ता न न न ता न न न न न आजा रे ता न ता न न न ता न न न न न ता न ता न न न ता न न न न ता न ता न न न ता न न न न न आजा रे सुन लो रे मितवा पुरवा भी जाएगी मस्ती भी छाएगी मिलके पुकारो तो फूलों वाली जो रुत है आएगी हाँ सुख भरे दिन दुःख के बिनलायेगी हम तुम सजाये आओ रंगों के मेले रहते हो बोलो काहे तुम यूँ अकेले मितवा सुन मितवा तुझको क्या डर है रे यह धरती अपनी है अपना अम्बर है रे ो मितवा सुन मितवा तुझको क्या डर है रे यह धरती अपनी है अपना अम्बर है रे तू आजा रे हर संत कहे साधू कहे सच और साहस है जिसके मैं में अंत में जीत उसीकी रहे ो मितवा सुन मितवा तुझको क्या डर है रे यह धरती अपनी है अपना अम्बर है रे ो मितवा सुन मितवा तुझको क्या डर है रे यह धरती अपनी है अपना अम्बर है रे ो मितवा सुन मितवा तुझको क्या डर है रे यह धरती अपनी है अपना अम्बर है रे ो मितवा सुन मितवा तुझको क्या डर है रे यह धरती अपनी है अपना अम्बर है रे तू आजा रे तू आजा रे तू आजा रे तू आजा रे
Maa Tujhe Salaam,A.R. Rahman,Vande Mataram,1997-09-26,वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम यहाँ वहां सारा जहाँ देख लिया है कही भी तेरे जैसा कोई नहीं है अस्सी नहीं सौ दिन दुनिया घूमा है नाही काहे तेरे जैसा कोई नहीं मैं गया जहाँ भी बस तेरी याद थी जो मेरे साथ थी मुझको तड़पाती रुलाती सब से प्यारी तेरी सूरत प्यार है बस तेरा प्यार ही माँ तुझे सलाम माँ तुझे सलाम अम्मा तुझे सलाम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम चाँद के पहाड़ में तेरा हूँ दीवाना मैं झूमउ नाचूँ गौ तेरे प्यार का तराना मैं जीना नहीं सोच नहीं दुनिया की दौलत नहीं बस लूटूँगा तेरे प्यार का खज़ाना एक नज़र जब तेरी होती है प्यार की दुनिया तब तो मेरी चमके डंके महके रे तेरा चेहरा सूरज जैसा चाँद सी ठण्ड है प्यार में वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम तेरे पास ही मैं आ रहा हूँ अपनी बाहें खोल दे ज़ोर से मुझको गले लगा ले मुझको फिर वह प्यार दे तू ही ज़िन्दगी है तू ही मेरी मोहब्बत है तेरे ही पैरों में जन्नत है तू ही दिल तू जान अम्मा माँ तुझे सलाम माँ तुझे सलाम अम्मा तुझे सलाम माँ तुझे सलाम वनडे मातरम वनडे मातरम वनडे वनडे मातरम वनडे मातरम वनडे वनडे मातरम वनडे मातरम वनडे वनडे मातरम वनडे मातरम वनडे वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम वनडे मातरम
Rang De Basanti,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),2005-12-04,डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग थोडीसी धूल मेरी धरती की मेरे वतन की थोडीसी धूल मेरी धरती की मेरे वतन की थोडीसी खुशबु बौराई से मस्त पवन की थोडीसी ढूंढने वाली धक् धक् धक् धक् धक् धक् सांसें जिन में हो जूनून जूनून वो बूंदे लाल लहू की यह सब तू मिला मिला ले फिर रंग तू खिला खिला ले यह सब तू मिला मिला ले फिर रंग तू खिला खिला ले और मोहे तू रंग दे बसंती यारा मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती ओह मोहे रंग दे बसंती बसंती रंग दे बसंती ओह मोहे रंग दे बसंती बसंती रंग दे बसंती डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग सपनें रंग दे अपने रंग दे खुशियां रंग दे गम भी रंग दे नस्लें रंग दे फसलें रंग दे रंग दे धड़कन रंग दे सरगम और मोहे तू रंग दे बसंती यारा मोहे तू रंग दे बसंती थोडीसी धूल मेरी धरती की मेरे वतन की थोडीसी धूल मेरी धरती की मेरे वतन की थोडीसी खुशबु बौराई से मस्त पवन की थोडीसी ढूंढने वाली धक् धक् धक् धक् धक् धक् सांसें जिन में हो जूनून जूनून वो बूंदे लाल लहू की यह सब तू मिला मिला ले फिर रंग तू खिला खिला ले यह सब तू मिला मिला ले फिर रंग तू खिला खिला ले और मोहे तू रंग दे बसंती यारा मोहे तू रंग दे बसंती धीमी आंच पे तू ज़रा इश्क़ चढ़ा थोड़े झरने ला थोड़ी नदी मिला थोड़े सागर आ थोड़ी गागर ला थोड़ा छिड़क छिड़क थोड़ा हिला हिला फिर एक रंग तू खिला खिला मोहे मोहे तू रंग दे बसंती यारा मोहे तू रंग दे बसंती बस्ती रंग दे हस्ती रंग दे हंस हंस रंग दे नस नस रंग दे बचपन रंग दे जोबन रंग दे अब देर न कर सचमुच रंग दे रंग रेज़ मेरे सब कुछ रंग दे मोहे मोहे तू रंग दे बसंती यारा मोहे तू रंग दे बसंती थोडीसी धूल मेरी धरती की मेरे वतन की थोडीसी धूल मेरी धरती की मेरे वतन की थोडीसी खुशबु बौराई से मस्त पवन की थोडीसी ढूंढ़ने वाली धक् धक् धक् धक् धक् धक् सांसें जिन में हो जूनून जूनून वो बूंदे लाल लहू की यह सब तू मिला मिला ले फिर रंग तू खिला खिला ले यह सब तू मिला मिला ले फिर रंग तू खिला खिला ले मोहे मोहे तू रंग दे बसंती यारा मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे मोहे तू रंग दे बसंती मोहे रंग दे बसंती बसंती रंग दे बसंती मोहे रंग दे बसंती बसंती रंग दे बसंती रंग दे रंग दे रंग दे बसंती डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग डिंग मोहे रंग दे बसंती बसंती रंग दे बसंती बसंती मोहे रंग दे बसंती रंग दे बसंती रंग दे बसंती यारा
Zinda ,Shankar-Ehsaan-Loy,The Spirit of Bhaag Milkha Bhaag,2013-06-14,ज़िंदा हैं तोह प्याला पूरा भर ले कांचा फूटे चूरा कांच कर ले ज़िन्दगी का ये घड़ा ले एक सांस में चढ़ा ले हिचकियों में क्या है मरना पूरा मर ले कोयला काला है चट्टानों ने पाला अंदर काला बाहर काला पर सच्चा है साला कोयला काला है चट्टानों ने पाला अंदर काला बाहर काला पर सच्चा है साला ज़िंदा है तोह प्याला पूरा भर ले कांचा फूटे चूरा कांच कर ले कांचा फूटे चूरा कांच कर ले उलझे क्यों पैरों में ये ख्वाब क़दमों से रेशम खींच दे पीछे कुछ न आगे का हिसाब इस पल की क्यारी सींच दे आग जुबां पे रख दे फिर चोट के होठ भिगाएँगे घाव गुनगुनायेंगे तेरे दर्द गीत बन्न जाएंगे ज़िंदा है तोह प्याला पूरा भर ले कांचा फूटे चूरा कांच कर ले ज़िन्दगी का ये घड़ा ले एक सांस में चढ़ा ले हिचकियों में क्या है मरना पूरा मर ले कोयला काला है चट्टानों ने पाला अंदर काला बाहर काला पर सच्चा है साला कोयला काला है चट्टानों ने पाला अंदर काला बाहर काला पर सच्चा है साला
Masti Ki Paathshala,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),2005-12-04,एरर फेचिंग थे सर्च रिजल्ट्स
